user_id,item_id,rating
194,54,3
19,9,2
138,89,1
20,169,2
12,146,2
173,76,4
108,14,3
19,27,4
74,112,1
104,106,4
18,186,5
184,135,1
117,131,1
8,101,2
129,121,1
130,148,5
42,131,2
198,0,3
103,174,5
94,75,5
68,91,5
94,58,2
150,7,1
187,114,1
16,64,3
93,173,1
197,163,1
94,29,5
53,1,5
4,12,3
124,53,2
188,188,2
109,170,5
138,67,1
39,116,4
96,64,2
149,91,4
171,137,4
169,177,3
133,56,3
51,135,3
9,60,4
23,138,5
93,115,1
115,21,4
16,181,4
74,15,1
27,95,4
199,33,2
155,100,2
147,36,3
77,51,1
99,155,5
142,68,2
0,184,5
166,101,4
10,136,3
166,53,1
25,68,3
159,127,1
154,94,5
24,193,5
60,84,5
55,145,2
129,0,2
127,124,4
103,131,3
92,41,3
122,55,5
129,71,5
11,93,3
75,138,3
28,184,2
166,19,1
85,47,3
144,137,2
87,113,1
0,165,2
25,39,4
117,126,2
44,108,3
106,10,5
8,72,3
61,156,3
69,113,4
78,4,4
0,100,1
146,179,2
76,58,1
76,1,2
116,46,1
40,86,4
13,169,1
10,25,2
92,191,3
127,130,4
56,31,4
78,60,4
136,126,3
157,120,2
148,175,3
108,154,4
99,58,1
13,180,2
112,84,5
86,179,2
143,105,3
137,167,3
44,181,3
45,55,4
170,183,2
99,15,5
175,3,3
119,47,2
115,98,3
154,161,1
151,177,4
73,163,3
14,150,3
63,163,3
87,133,1
131,84,1
124,86,3
19,118,5
147,133,4
4,120,5
164,128,2
178,171,3
67,147,2
140,61,3
119,189,3
36,113,1
20,142,3
167,27,2
186,104,1
101,52,5
171,88,1
91,170,2
26,38,3
5,153,4
86,9,2
91,106,3
124,179,4
99,38,5
120,94,2
121,15,5
66,40,4
148,2,4
125,37,4
157,131,1
183,93,3
68,45,5
11,74,5
1,16,5
34,142,5
40,98,5
11,103,5
197,53,1
29,84,2
14,8,2
54,3,3
53,123,2
153,56,5
170,137,5
10,187,3
3,76,2
88,86,4
119,166,4
93,97,3
18,141,4
48,77,3
151,92,4
52,193,2
157,162,2
156,135,2
115,151,1
8,64,1
187,127,4
16,68,2
183,16,4
139,136,4
26,187,5
163,161,4
180,16,4
101,191,2
147,92,2
40,183,1
123,71,1
163,158,5
71,85,1
62,174,1
121,117,1
10,57,3
170,175,4
26,123,4
93,118,4
16,196,2
164,175,4
186,65,3
194,150,1
173,39,4
28,185,4
28,77,5
27,9,5
106,182,3
34,151,3
17,195,5
116,85,5
158,195,1
90,86,5
43,28,1
190,115,4
109,187,2
77,35,2
190,83,1
9,124,1
19,177,5
110,125,2
129,13,3
106,97,5
192,69,2
140,116,4
35,182,2
35,30,2
187,117,5
138,148,4
91,62,3
164,144,2
92,10,2
176,114,2
29,139,2
111,30,3
178,23,3
148,176,2
79,120,1
103,188,4
97,44,3
171,171,2
179,92,5
125,12,1
64,39,2
180,183,1
178,186,5
133,147,4
82,175,5
147,120,4
148,130,1
33,83,2
132,62,1
92,128,3
145,98,5
97,107,5
100,62,3
62,40,3
55,169,1
76,95,2
197,130,1
49,50,5
108,181,5
194,57,1
44,66,4
147,196,5
11,4,2
111,40,1
167,93,1
137,159,1
43,143,1
45,166,5
58,193,1
126,194,3
99,47,3
168,174,4
101,134,3
71,35,3
122,140,2
1,112,5
15,89,2
163,89,3
122,199,4
46,18,5
66,86,2
72,109,3
62,42,3
69,156,2
180,117,2
66,125,5
116,71,1
153,115,5
34,51,4
111,26,2
187,82,3
119,108,3
169,149,5
170,56,5
159,156,4
52,128,1
78,157,3
183,139,4
15,105,4
151,115,5
106,175,1
146,36,1
169,165,2
152,175,1
123,29,4
144,171,1
155,69,5
146,71,4
69,172,3
45,49,2
15,94,5
30,69,4
1,35,1
144,168,1
60,97,1
128,158,2
3,32,2
138,152,4
125,160,4
174,79,2
155,78,4
80,69,5
77,55,5
105,93,2
112,88,2
49,199,1
36,120,4
153,94,2
101,171,2
11,86,3
188,197,1
147,7,1
61,128,1
195,160,4
4,186,2
39,43,4
170,192,3
178,84,5
188,187,4
86,198,4
62,127,3
0,115,1
134,44,1
145,69,1
172,99,5
51,117,2
89,135,1
110,51,4
121,122,2
147,166,1
78,15,1
152,114,4
114,31,1
105,184,3
46,41,3
167,101,1
11,161,5
38,47,4
163,187,1
35,184,5
178,157,5
77,83,4
180,153,2
170,161,4
181,170,3
197,147,4
51,72,4
191,42,2
169,134,1
13,35,3
140,3,5
102,145,3
92,127,4
62,77,1
94,100,4
88,1,5
173,95,4
188,75,3
87,3,4
24,86,1
37,4,5
198,176,3
174,46,2
45,22,1
98,77,2
70,140,3
31,49,4
39,10,2
60,51,3
160,151,4
142,50,4
11,31,5
28,33,5
18,74,4
169,118,2
19,8,1
94,113,2
86,162,3
199,186,1
122,121,3
81,146,3
155,129,4
52,59,3
149,100,5
154,187,2
191,40,5
183,10,5
109,3,4
44,4,3
19,113,1
40,170,5
71,45,3
33,69,3
43,170,5
117,127,5
81,158,5
34,111,2
51,91,1
60,91,2
67,70,2
169,84,4
2,96,2
34,76,5
80,143,3
4,196,5
104,57,5
75,64,2
132,156,4
43,10,5
94,179,1
142,63,1
41,66,2
135,160,2
14,87,2
186,32,3
113,96,2
199,10,4
32,156,4
168,55,5
108,67,4
151,193,2
27,183,3
63,130,3
101,78,4
195,115,4
63,179,5
120,50,3
139,23,2
36,98,5
149,0,4
196,7,5
78,165,2
125,70,5
171,120,4
90,84,1
105,199,1
71,79,3
23,52,2
94,4,3
58,100,1
39,156,5
173,138,1
63,166,3
0,72,3
73,84,1
111,145,5
117,82,5
145,142,4
182,70,4
142,150,3
67,129,5
100,98,1
94,13,4
150,47,4
137,25,3
186,144,4
101,28,2
175,118,3
31,196,2
79,81,1
64,73,3
44,60,3
108,136,5
101,124,3
87,98,2
183,79,2
13,61,4
36,159,1
63,90,3
175,63,4
139,68,2
56,56,5
100,25,1
159,22,2
0,24,3
93,20,5
5,19,3
181,96,5
178,159,3
11,56,5
55,116,1
152,112,2
42,16,1
195,70,4
136,61,1
187,99,5
44,168,5
93,25,4
41,125,4
76,147,2
43,162,1
85,15,3
167,52,4
19,160,5
59,190,4
95,83,3
125,2,2
152,80,2
13,193,3
13,116,4
79,61,4
3,56,5
43,165,5
132,154,4
170,171,2
153,53,1
32,169,5
139,25,5
192,158,4
61,77,3
193,112,5
111,62,2
46,161,3
117,183,2
132,96,3
99,126,1
100,88,3
52,36,1
193,159,4
33,97,3
112,81,4
153,146,4
10,101,1
149,191,5
184,181,5
187,46,1
44,122,4
144,58,3
141,139,2
93,98,4
58,67,5
87,110,3
163,33,2
116,0,5
137,188,2
157,27,5
104,145,4
92,137,5
174,155,3
159,17,5
149,41,2
148,22,2
132,129,5
136,132,2
82,38,1
44,86,2
125,108,2
184,87,2
63,197,4
14,109,5
11,62,3
100,171,5
131,92,2
54,197,4
178,173,5
111,151,2
74,113,4
117,136,5
137,1,3
32,131,3
145,15,5
115,187,3
5,84,5
120,68,4
107,159,1
160,30,1
108,53,4
189,133,3
107,71,1
133,50,1
182,188,3
152,49,4
70,34,2
117,144,2
23,98,5
84,143,4
13,199,1
177,38,3
12,25,4
10,148,3
61,159,4
174,98,3
121,86,4
58,64,5
140,185,4
78,188,5
93,141,3
195,31,2
22,14,2
18,172,2
57,157,5
127,167,2
97,199,4
154,179,4
179,157,3
181,162,2
117,9,3
132,102,1
74,152,1
140,2,4
84,46,5
155,121,4
140,122,1
91,60,4
177,146,1
117,115,2
54,142,3
160,179,3
179,50,3
194,132,1
76,21,3
43,194,4
41,96,2
81,39,2
85,7,2
154,121,2
43,81,3
54,43,1
111,152,5
2,51,4
160,56,4
195,137,5
166,69,2
66,146,4
124,3,4
167,177,3
189,121,4
14,2,2
27,18,4
140,55,4
30,48,1
76,192,1
59,63,1
140,175,4
34,1,5
107,59,5
134,168,2
114,172,4
100,20,1
28,67,1
191,37,5
22,46,1
8,83,2
88,112,1
105,72,2
105,123,5
46,115,4
122,120,2
127,41,5
3,168,5
11,110,5
52,89,3
174,19,4
87,20,2
197,161,4
140,125,3
9,36,3
5,59,5
189,136,2
52,55,5
6,131,1
178,4,3
157,195,5
69,36,1
38,71,4
130,2,5
191,61,2
104,144,2
120,20,4
48,178,5
171,111,4
135,193,4
137,94,5
130,119,5
56,177,5
150,162,5
127,148,3
120,34,1
88,12,1
101,174,4
82,134,2
0,109,1
38,113,5
188,121,4
98,16,3
126,54,1
54,69,2
111,188,1
6,13,5
57,73,5
95,148,3
29,54,3
41,155,4
112,126,1
9,117,1
178,131,4
