user_id,item_id,rating
460,930,3
505,660,5
335,836,4
179,450,3
990,777,2
347,56,1
794,586,4
696,594,4
371,308,4
333,669,1
123,683,1
398,420,5
442,62,1
288,935,5
528,69,3
262,242,2
174,502,5
805,309,5
933,826,1
934,845,3
750,723,5
981,348,2
832,125,1
687,314,5
414,377,1
909,255,5
940,825,3
682,386,1
629,940,1
763,709,4
823,762,3
871,959,5
473,551,1
184,181,4
775,179,2
531,322,3
151,938,5
840,845,4
887,462,3
80,437,1
925,603,1
343,509,2
595,633,1
479,828,2
205,622,1
277,557,2
824,270,1
32,87,3
595,340,3
25,721,1
19,808,3
10,558,5
752,173,4
942,854,2
937,808,1
948,63,4
183,133,1
189,392,4
596,943,5
699,308,3
175,676,3
784,845,5
36,743,3
774,47,2
791,246,2
722,560,3
817,612,2
469,495,3
182,94,5
619,307,1
598,168,4
474,317,2
111,199,4
953,332,2
487,434,3
252,709,4
994,513,2
253,289,2
261,281,1
588,222,3
715,760,4
274,933,2
444,402,5
908,113,4
236,827,2
892,76,3
545,553,4
587,388,4
694,951,1
917,165,2
502,256,4
673,721,1
881,394,4
473,916,4
802,987,5
444,130,2
656,568,5
529,701,1
700,674,4
530,679,1
80,687,1
860,904,2
533,950,5
860,94,1
115,604,3
961,507,3
172,638,4
205,624,3
145,903,3
27,22,1
839,110,3
41,733,1
957,754,4
3,174,2
778,840,4
157,854,1
923,639,3
260,989,2
643,435,1
645,442,4
551,253,4
328,678,4
449,828,3
401,44,4
412,387,1
784,648,3
593,890,3
349,649,1
74,107,2
656,56,4
504,887,5
369,694,2
697,975,5
938,204,5
731,959,2
717,772,3
293,327,4
808,520,4
605,409,5
911,552,1
993,921,3
994,306,3
842,267,5
88,978,3
453,765,3
481,16,5
687,189,2
781,221,3
166,869,1
989,816,1
732,70,1
167,116,5
234,61,2
126,665,1
388,368,4
778,59,3
339,714,5
646,238,5
335,136,1
955,411,2
649,919,4
678,995,4
171,825,5
721,422,5
723,38,1
940,41,4
711,983,2
301,222,2
896,300,3
564,806,5
643,744,1
273,627,1
421,76,5
591,156,2
59,633,2
360,802,5
935,678,5
676,540,3
172,949,2
582,757,3
870,258,4
327,743,2
783,20,1
537,478,2
172,505,1
591,951,1
682,393,5
871,293,3
352,927,1
110,232,4
92,919,4
637,531,2
796,236,1
243,674,4
391,679,2
532,286,2
201,663,5
429,232,5
493,296,2
118,770,4
558,914,3
210,808,1
311,62,2
639,665,5
299,367,4
597,939,4
460,667,5
178,346,2
716,946,3
744,444,4
269,909,1
599,60,4
156,920,4
947,708,4
429,604,3
395,142,1
330,1,3
218,731,2
329,118,5
218,759,2
425,864,1
118,273,4
368,886,1
781,140,1
683,940,5
965,950,3
506,477,2
209,668,5
883,422,4
989,688,2
628,841,2
72,84,3
527,304,3
360,777,3
174,565,1
156,641,5
397,387,5
749,317,2
272,529,2
696,15,2
582,512,2
305,396,5
6,107,3
636,934,5
891,645,4
950,207,4
249,0,5
351,341,2
570,183,5
839,636,2
195,325,1
886,893,3
107,116,1
235,582,4
181,530,4
446,983,1
279,324,3
869,468,3
267,417,1
371,607,5
868,806,1
391,764,2
942,655,3
925,777,2
626,59,4
846,211,3
705,433,2
226,955,3
688,847,5
451,995,3
113,575,1
605,448,5
959,208,1
384,807,4
850,791,2
796,610,5
826,736,1
824,654,1
988,391,5
645,725,1
194,688,5
654,610,4
59,591,4
205,584,5
759,86,1
551,477,2
453,54,5
543,984,4
873,590,4
903,242,5
903,513,2
277,440,5
541,600,3
861,958,5
615,343,1
832,408,2
393,636,1
95,758,2
174,340,3
299,541,4
301,118,1
295,438,1
251,764,2
459,760,4
323,417,1
372,669,4
535,467,5
480,832,5
24,217,1
417,234,2
539,724,2
331,39,1
963,907,2
466,498,3
188,614,5
617,692,3
487,878,4
378,255,4
407,656,4
872,300,3
785,692,3
344,542,4
535,142,4
525,806,4
